Time,V(I=0.0),V(I=0.3),V(I=0.6)
104.5,-1.1994080352065197,-1.0049270650332578,-1.3244830344152565
105.0,-1.1994080352153784,-1.000995022914187,-1.2929420662897417
105.5,-1.1994080352229444,-0.9970400257146561,-1.2608075855307441
106.0,-1.1994080352293257,-0.9931254619764899,-1.2279531538290134
106.5,-1.1994080352346346,-0.9893121337677887,-1.1942223200529485
107.0,-1.1994080352389838,-0.985658073042497,-1.1594187573305417
107.5,-1.1994080352424836,-0.9822183251573672,-1.123292261671022
108.0,-1.1994080352452403,-0.979044670049379,-1.0855184744421336
108.5,-1.1994080352473537,-0.9761852581751268,-1.0456688602841935
109.0,-1.199408035248917,-0.9736841453395264,-1.0031651596532798
109.5,-1.1994080352500154,-0.9715807184372462,-0.9572083933536502
110.0,-1.1994080352507268,-0.9699090133099808,-0.9066648317401182
110.5,-1.1994080352511203,-0.9686969366713314,-0.8498766579989757
111.0,-1.1994080352512573,-0.9679654164148133,-0.7843359120569735
111.5,-1.1994080352511918,-0.9677275182884576,-0.706100510329133
112.0,-1.1994080352509706,-0.9679875811148754,-0.6087056327153224
112.5,-1.1994080352506336,-0.9687404361459278,-0.48106317698396583
113.0,-1.1994080352502148,-0.9699707869268476,-0.30336845781712224
113.5,-1.199408035249742,-0.9716528319716101,-0.03977098972967674
114.0,-1.199408035249239,-0.9737502112792311,0.36838280715654903
114.5,-1.199408035248724,-0.9762163472506538,0.9631937508683731
115.0,-1.1994080352482124,-0.9789952297981013,1.5433082474324937
115.5,-1.1994080352477154,-0.982022664727574,1.7641204143007447
116.0,-1.1994080352472416,-0.9852279660169317,1.8214254127054372
116.5,-1.199408035246797,-0.9885360304867314,1.8290303606042477
117.0,-1.1994080352463858,-0.9918696931010015,1.8151535697592358
117.5,-1.1994080352460104,-0.995152228816476,1.7903698958339314
118.0,-1.1994080352456715,-0.9983098479166191,1.7596721489896923
118.5,-1.1994080352453693,-1.0012740296013063,1.7256457116192292
119.0,-1.1994080352451026,-1.0039835539409765,1.6896447741180318
119.5,-1.1994080352448702,-1.0063861228036675,1.652349990096157
120.0,-1.1994080352446694,-1.008439501158373,1.6140682214705615
120.5,-1.1994080352444985,-1.0101121549556997,1.5748976463707747
121.0,-1.1994080352443546,-1.0113834042276302,1.5348156989977848
121.5,-1.1994080352442351,-1.0122431449397828,1.493722336140446
122.0,-1.1994080352441374,-1.0126912172454936,1.451457504009207
122.5,-1.199408035244059,-1.0127365101055854,1.4078030109186548
123.0,-1.1994080352439975,-1.0123958936509747,1.3624733973424117
123.5,-1.199408035243951,-1.011693063402675,1.3150965925111873
124.0,-1.1994080352439165,-1.0106573673722605,1.2651820395845805
124.5,-1.1994080352438927,-1.009322670992665,1.2120704444149537
125.0,-1.1994080352438776,-1.0077262981896589,1.154853937320018
125.5,-1.1994080352438696,-1.0059080714652469,1.0922458442879344
126.0,-1.1994080352438674,-1.00390946071006,1.0223606561388772
126.5,-1.1994080352438696,-1.0017728400839507,0.9423267094156433
127.0,-1.1994080352438752,-0.9995408447500813,0.847572672699354
127.5,-1.1994080352438834,-0.9972558142819894,0.7304487585551012
128.0,-1.1994080352438932,-0.9949593068060674,0.5774428883349012
128.5,-1.1994080352439043,-0.9926916669760883,0.3634490589738156
129.0,-1.199408035243916,-0.9904916313145613,0.04091910221310169
129.5,-1.199408035243928,-0.9883959559767714,-0.46906716027141004
130.0,-1.1994080352439398,-0.9864390543534294,-1.1921376608786898
130.5,-1.1994080352439513,-0.9846526349531889,-1.7281580479949492
131.0,-1.1994080352439622,-0.983065333574848,-1.8598176033177847
131.5,-1.1994080352439724,-0.9817023377950825,-1.897084448868466
132.0,-1.1994080352439818,-0.9805850061631759,-1.902210075784746
132.5,-1.1994080352439904,-0.9797304890807816,-1.8919499106816682
133.0,-1.1994080352439982,-0.9791513629677799,-1.8732897935197648
133.5,-1.199408035244005,-0.9788552937162704,-1.8498500470658725
134.0,-1.199408035244011,-0.9788447492746968,-1.823699107374733
134.5,-1.1994080352440164,-0.9791167840732923,-1.7960492571082673
135.0,-1.199408035244021,-0.9796629194498315,-1.7676012146930133
135.5,-1.1994080352440248,-0.9804691438211101,-1.7387464750995394
136.0,-1.1994080352440282,-0.9815160537122932,-1.7096936300454786
136.5,-1.1994080352440308,-0.9827791517090083,-1.6805464287276093
137.0,-1.199408035244033,-0.9842293099859127,-1.651350148297449
137.5,-1.1994080352440348,-0.9858333986446354,-1.6221178930942626
138.0,-1.1994080352440362,-0.9875550673411447,-1.5928448443655356
138.5,-1.199408035244037,-0.9893556575621492,-1.5635156223625841
139.0,-1.199408035244038,-0.991195212574316,-1.534107850549149
139.5,-1.1994080352440384,-0.9930335437061757,-1.5045936590469382
140.0,-1.1994080352440386,-0.9948313062702046,-1.474940050847688
140.5,-1.1994080352440388,-0.9965510368069997,-1.4451085915719495
141.0,-1.1994080352440388,-0.9981581056939572,-1.4150546272503943
141.5,-1.1994080352440388,-0.9996215452563644,-1.3847260899734763
142.0,-1.1994080352440386,-1.0009147226254373,-1.3540618610471844
142.5,-1.1994080352440384,-1.0020158376311321,-1.3229895915300638
143.0,-1.1994080352440382,-1.0029082377517442,-1.291422808855722
143.5,-1.199408035244038,-1.0035805533465918,-1.2592570480460747
144.0,-1.1994080352440377,-1.004026666049179,-1.2263646173215368
144.5,-1.1994080352440375,-1.0042455305884628,-1.1925874132254484
145.0,-1.199408035244037,-1.004240875091799,-1.1577268956590685
145.5,-1.1994080352440368,-1.0040208071084071,-1.1215298435113359
146.0,-1.1994080352440366,-1.0035973524598765,-1.0836677045033611
146.5,-1.1994080352440364,-1.002985952042543,-1.0437059874670418
147.0,-1.1994080352440362,-1.0022049384298715,-1.0010577693420193
147.5,-1.199408035244036,-1.0012750101062002,-0.9549111271110031
148.0,-1.1994080352440357,-1.0002187168993133,-0.9041124049974766
148.5,-1.1994080352440357,-0.9990599660630789,-0.8469720678326605
149.0,-1.1994080352440357,-0.9978235547765806,-0.7809297532947775
149.5,-1.1994080352440357,-0.9965347317503969,-0.7019532142409455
150.0,-1.1994080352440357,-0.9952187882513213,-0.6034157958633973
150.5,-1.1994080352440357,-0.9939006771916528,-0.4739276848322054
151.0,-1.1994080352440357,-0.9926046579472333,-0.29311350104255307
151.5,-1.1994080352440357,-0.9913539642077867,-0.024125726270859515
152.0,-1.1994080352440357,-0.9901704923444304,0.3926037913500118
152.5,-1.1994080352440357,-0.9890745084142554,0.9946879702045852
153.0,-1.1994080352440357,-0.9880843729178017,1.5622638599086658
153.5,-1.1994080352440357,-0.9872162836857509,1.7689809708712076
154.0,-1.1994080352440357,-0.9864840386951046,1.8225813550558398
154.5,-1.1994080352440357,-0.9858988220948092,1.8287450145865782
155.0,-1.1994080352440357,-0.9854690181404431,1.8141689004483834
155.5,-1.1994080352440357,-0.985200058973803,1.7890134659570098
156.0,-1.1994080352440357,-0.9850943131080985,1.7581097917178998
